STATUS1,LCORE,LSURF,STATUS2,LO2,STATUS3,LBP,STATUS4,SURFSTBL,CORESTBL,BPSTBL,STATUS5,CONFORT,STATUS6,DECISION
high,13,17,excellent,43,high,30,stable,45,83,46,0,0,I,2
mid,58,48,good,47,mid,57,mod-stable,44,1,21,1,0,S,24
low,19,25,fair,0,low,3,unstable,43,6,23,2,0,A,64
,,,poor,0,,,,,,,3,0,,
,,,,,,,,,,,4,0,,
,,,,,,,,,,,5,2,,
,,,,,,,,,,,6,0,,
,,,,,,,,,,,7,1,,
,,,,,,,,,,,8,0,,
,,,,,,,,,,,9,0,,
,,,,,,,,,,,10,65,,
,,,,,,,,,,,11,0,,
,,,,,,,,,,,12,0,,
,,,,,,,,,,,13,0,,
,,,,,,,,,,,14,0,,
,,,,,,,,,,,15,19,,
,,,,,,,,,,,16,0,,
,,,,,,,,,,,17,0,,
,,,,,,,,,,,18,0,,
,,,,,,,,,,,19,0,,
,,,,,,,,,,,20,0,,
