STATUSCS,LCORE,LCOREP,LSURF,LSURFP,STATUSLO2,LO2,LO2P,STATUSLBP,LBP,LBPP,STATUSSC,SURFSTBL,SURFSTBLP,CORESTBL,CORESTBLP,BPSTBL,BPSTBLP,STATUSC,CONFORT,STATUSD,DECISION,DECISIONP
high,13,"14,44",17,"18,89",excellent,43,"47,78",high,30,"33,3333333333333",stable,45,"50,00",83,"92,22",46,"51,11",0,0,I,2,"2,22"
mid,58,"64,44",48,"53,33",good,47,"52,22",mid,57,"63,3333333333333",mod-stable,0,"0,00",1,"1,11",21,"23,33",1,0,S,24,"26,67"
low,19,"21,12",25,"27,78",fair,0,"0,00",low,3,"3,33333333333333",unstable,45,"50,00",6,"6,67",23,"25,56",2,0,A,64,"71,11"
,,,,,poor,0,"0,00",,,,,,,,,,,3,0,,,
,,,,,,,,,,,,,,,,,,4,0,,,
,,,,,,,,,,,,,,,,,,5,2,,,
,,,,,,,,,,,,,,,,,,6,0,,,
,,,,,,,,,,,,,,,,,,7,1,,,
,,,,,,,,,,,,,,,,,,8,0,,,
,,,,,,,,,,,,,,,,,,9,0,,,
,,,,,,,,,,,,,,,,,,10,65,,,
,,,,,,,,,,,,,,,,,,11,0,,,
,,,,,,,,,,,,,,,,,,12,0,,,
,,,,,,,,,,,,,,,,,,13,0,,,
,,,,,,,,,,,,,,,,,,14,0,,,
,,,,,,,,,,,,,,,,,,15,19,,,
,,,,,,,,,,,,,,,,,,16,0,,,
,,,,,,,,,,,,,,,,,,17,0,,,
,,,,,,,,,,,,,,,,,,18,0,,,
,,,,,,,,,,,,,,,,,,19,0,,,
,,,,,,,,,,,,,,,,,,20,0,,,
