STATUSCS,LCORE,LCOREP,LSURF,LSURFP,STATUSLO2,LO2,LO2P,STATUSLBP,LBP,LBPP,STATUSSC,SURFSTBL,SURFSTBLP,CORESTBL,CORESTBLP,BPSTBL,BPSTBLP,STATUSC,CONFORT,STATUSD,DECISION,DECISIONP
high,13,"33,33",17,"33,33",excellent,43,"25,00",high,30,"33,33",stable,45,"33,33",83,"33,33",46,"33,33",0,0,I,2,"33,33"
mid,58,"33,33",48,"33,33",good,47,"25,00",mid,57,"33,33",mod-stable,0,"33,33",1,"33,33",21,"33,33",1,0,S,24,"33,33"
low,19,"33,33",25,"33,33",fair,0,"25,00",low,3,"33,33",unstable,45,"33,33",6,"33,33",23,"33,33",2,0,A,64,"33,33"
,,,,,poor,0,"25,00",,,,,,,,,,,3,0,,,
,,,,,,,,,,,,,,,,,,4,0,,,
,,,,,,,,,,,,,,,,,,5,2,,,
,,,,,,,,,,,,,,,,,,6,0,,,
,,,,,,,,,,,,,,,,,,7,1,,,
,,,,,,,,,,,,,,,,,,8,0,,,
,,,,,,,,,,,,,,,,,,9,0,,,
,,,,,,,,,,,,,,,,,,10,65,,,
,,,,,,,,,,,,,,,,,,11,0,,,
,,,,,,,,,,,,,,,,,,12,0,,,
,,,,,,,,,,,,,,,,,,13,0,,,
,,,,,,,,,,,,,,,,,,14,0,,,
,,,,,,,,,,,,,,,,,,15,19,,,
,,,,,,,,,,,,,,,,,,16,0,,,
,,,,,,,,,,,,,,,,,,17,0,,,
,,,,,,,,,,,,,,,,,,18,0,,,
,,,,,,,,,,,,,,,,,,19,0,,,
,,,,,,,,,,,,,,,,,,20,0,,,
